timestamp,step,scenario,cpu_pct,memory_pct,latency_ms,queue_depth,incoming_req,rate_limit,observed_load,error,p_term,i_term,d_term,integral,accepted_req,rejected_req,rejection_rate
2024-01-01 00:00:00,0,Normal,36.52,34.8,91.26,68,604,1596.12,0.2706,0.3294,494.025,3.2935,98.805,0.3294,604,0,0.0
2024-01-01 00:00:01,1,Normal,28.49,40.64,75.26,49,714,1544.69,0.2463,0.3537,530.5575,6.8306,7.3065,0.6831,714,0,0.0
2024-01-01 00:00:02,2,Normal,39.4,43.89,80.99,72,846,1445.67,0.2989,0.3011,451.62,9.8414,-15.7875,0.9841,846,0,0.0
2024-01-01 00:00:03,3,Normal,30.7,41.84,65.62,67,795,1544.13,0.2549,0.3451,517.635,13.2923,13.203,1.3292,795,0,0.0
2024-01-01 00:00:04,4,Normal,34.08,36.6,98.34,46,757,1512.77,0.2668,0.3332,499.725,16.6238,-3.582,1.6624,757,0,0.0
2024-01-01 00:00:05,5,Normal,33.24,42.66,85.48,58,843,1505.96,0.2744,0.3256,488.355,19.8795,-2.274,1.9879,843,0,0.0
2024-01-01 00:00:06,6,Normal,45.71,37.97,72.32,33,861,1472.41,0.296,0.304,455.97,22.9192,-6.477,2.2919,861,0,0.0
2024-01-01 00:00:07,7,Normal,40.64,39.43,67.4,33,865,1511.89,0.2795,0.3205,480.8025,26.1246,4.9665,2.6125,865,0,0.0
2024-01-01 00:00:08,8,Normal,38.72,42.72,70.02,54,811,1499.34,0.2854,0.3146,471.855,29.2703,-1.7895,2.927,811,0,0.0
2024-01-01 00:00:09,9,Normal,36.09,44.36,83.35,63,806,1499.0,0.2883,0.3117,467.49,32.3869,-0.873,3.2387,806,0,0.0
2024-01-01 00:00:10,10,Normal,36.45,43.16,58.14,43,752,1534.39,0.271,0.329,493.5075,35.6769,5.2035,3.5677,752,0,0.0
2024-01-01 00:00:11,11,Normal,31.81,38.62,102.42,32,896,1545.33,0.2639,0.3361,504.1575,39.038,2.13,3.9038,896,0,0.0
2024-01-01 00:00:12,12,Normal,26.59,38.33,82.44,61,871,1591.15,0.2393,0.3607,541.11,42.6454,7.3905,4.2645,871,0,0.0
2024-01-01 00:00:13,13,Normal,38.97,38.26,73.06,67,780,1516.11,0.2786,0.3214,482.0625,45.8591,-11.8095,4.5859,780,0,0.0
2024-01-01 00:00:14,14,Normal,28.62,34.33,66.21,59,814,1622.86,0.2279,0.372,558.075,49.5797,15.2025,4.958,814,0,0.0
2024-01-01 00:00:15,15,Normal,38.45,37.86,82.38,62,769,1517.68,0.2797,0.3203,480.4275,52.7825,-15.5295,5.2782,769,0,0.0
2024-01-01 00:00:16,16,Normal,37.28,36.69,74.55,42,680,1561.64,0.2658,0.3342,501.33,56.1247,4.1805,5.6125,680,0,0.0
2024-01-01 00:00:17,17,Normal,37.43,37.65,80.19,59,844,1545.78,0.2741,0.3259,488.8875,59.3839,-2.4885,5.9384,844,0,0.0
2024-01-01 00:00:18,18,Normal,38.33,39.51,73.65,48,631,1546.32,0.277,0.323,484.5675,62.6144,-0.864,6.2614,631,0,0.0
2024-01-01 00:00:19,19,Normal,27.76,33.39,65.04,57,709,1650.41,0.2217,0.3783,567.4425,66.3974,16.575,6.6397,709,0,0.0
2024-01-01 00:00:20,20,Normal,33.11,46.5,74.66,64,706,1533.8,0.2791,0.3209,481.4025,69.6067,-17.208,6.9607,706,0,0.0
2024-01-01 00:00:21,21,Normal,33.97,35.25,74.91,66,627,1598.91,0.2544,0.3456,518.4375,73.063,7.407,7.3063,627,0,0.0
2024-01-01 00:00:22,22,Normal,37.17,41.19,71.09,21,807,1563.48,0.2718,0.3282,492.3525,76.3453,-5.217,7.6345,807,0,0.0
2024-01-01 00:00:23,23,Normal,32.35,41.16,80.33,82,776,1577.73,0.2686,0.3314,497.115,79.6594,0.9525,7.9659,776,0,0.0
2024-01-01 00:00:24,24,Normal,29.88,40.9,83.3,77,883,1595.58,0.26,0.34,509.955,83.0591,2.568,8.3059,883,0,0.0
2024-01-01 00:00:25,25,Normal,36.78,47.32,62.17,37,707,1553.63,0.2837,0.3163,474.5025,86.2225,-7.0905,8.6222,707,0,0.0
2024-01-01 00:00:26,26,Normal,33.05,33.12,89.53,45,652,1624.84,0.25,0.35,525.015,89.7226,10.1025,8.9723,652,0,0.0
2024-01-01 00:00:27,27,Normal,29.92,41.57,92.57,89,1091,1585.13,0.2683,0.3317,497.58,93.0398,-5.487,9.304,1091,0,0.0
2024-01-01 00:00:28,28,Normal,37.07,35.05,48.02,55,718,1627.69,0.2496,0.3504,525.555,96.5435,5.595,9.6543,718,0,0.0
2024-01-01 00:00:29,29,Normal,32.92,36.94,77.89,71,815,1611.96,0.2572,0.3428,514.2525,99.9718,-2.2605,9.9972,815,0,0.0
2024-01-01 00:00:30,30,Normal,34.21,34.82,54.88,40,794,1648.31,0.2402,0.3598,539.6625,103.5695,5.082,10.357,794,0,0.0
2024-01-01 00:00:31,31,Normal,43.84,40.65,94.74,40,681,1523.37,0.3084,0.2916,437.3475,106.4852,-20.463,10.6485,681,0,0.0
2024-01-01 00:00:32,32,Normal,30.17,36.37,111.93,33,883,1639.06,0.2574,0.3426,513.8475,109.9108,15.3,10.9911,883,0,0.0
2024-01-01 00:00:33,33,Normal,30.49,44.66,85.77,46,795,1607.79,0.2681,0.3318,497.775,113.2293,-3.2145,11.3229,795,0,0.0
2024-01-01 00:00:34,34,Normal,31.73,42.23,73.18,25,672,1634.56,0.257,0.343,514.545,116.6596,3.354,11.666,672,0,0.0
2024-01-01 00:00:35,35,Normal,35.86,47.9,82.4,47,828,1568.5,0.2935,0.3065,459.735,119.7245,-10.962,11.9725,828,0,0.0
2024-01-01 00:00:36,36,Normal,41.53,41.1,73.84,72,842,1578.33,0.2958,0.3042,456.2625,122.7663,-0.6945,12.2766,842,0,0.0
2024-01-01 00:00:37,37,Normal,42.68,40.92,61.63,22,965,1600.22,0.2858,0.3142,471.3075,125.9083,3.009,12.5908,965,0,0.0
2024-01-01 00:00:38,38,Normal,43.62,39.1,74.25,79,689,1575.74,0.2994,0.3006,450.9075,128.9144,-4.08,12.8914,689,0,0.0
2024-01-01 00:00:39,39,Normal,30.53,43.22,74.08,49,783,1655.41,0.2593,0.3407,511.0575,132.3214,12.03,13.2321,783,0,0.0
2024-01-01 00:00:40,40,Normal,36.69,47.04,81.36,62,594,1580.36,0.296,0.304,456.0075,135.3615,-11.01,13.5361,594,0,0.0
2024-01-01 00:00:41,41,Normal,34.76,35.78,61.72,32,766,1683.51,0.2468,0.3532,529.845,138.8938,14.7675,13.8894,766,0,0.0
2024-01-01 00:00:42,42,Normal,39.58,33.37,80.46,40,767,1633.51,0.2682,0.3318,497.7225,142.212,-6.4245,14.2212,767,0,0.0
2024-01-01 00:00:43,43,Normal,40.01,42.69,100.06,46,730,1578.99,0.3037,0.2963,444.465,145.175,-10.6515,14.5175,730,0,0.0
