timestamp,step,scenario,mode,cpu_util,memory_util,queue_norm,latency_norm,req_rate_norm,threat_level,freq_dev_norm,renewable_norm,ev_demand_norm,predicted_load,legit_incoming,atk_incoming,total_incoming,rl_action_idx,rl_rate_limit,rl_accepted,rl_rejected,rl_rej_legit,rl_rejection_rate,rl_reward,rl_legit_term,rl_overload_term,rl_latency_term,rl_security_term,q_max,epsilon,train_loss,static_rate_limit,static_accepted,static_rejected,static_rej_legit,static_rej_rate,static_reward
2024-01-01 00:00:00,0,NORMAL,Training,0.317,0.42,0.043,0.339,0.033,0.073,0.083,0.256,0.169,0.5,215,0,215,4,1000,215,0,0,0.0,0.2589,0.3,-0.0,-0.0509,0.0098,0.4364,1.0,,500,215,0,0,0.0,0.2613
2024-01-01 00:00:01,1,NORMAL,Training,0.344,0.412,0.057,0.383,0.044,0.044,0.053,0.261,0.144,0.496,285,0,285,7,3000,285,0,0,0.0,0.2426,0.3,-0.0,-0.0574,0.0,0.3562,1.0,,500,285,0,0,0.0,0.25
2024-01-01 00:00:02,2,NORMAL,Training,0.328,0.433,0.053,0.387,0.041,0.063,0.166,0.18,0.13,0.492,264,0,264,6,2000,264,0,0,0.0,0.2462,0.3,-0.0,-0.058,0.0042,0.2893,1.0,,500,264,0,0,0.0,0.2525
2024-01-01 00:00:03,3,NORMAL,Training,0.329,0.421,0.049,0.367,0.038,0.025,0.106,0.237,0.172,0.488,245,0,245,6,2000,245,0,0,0.0,0.2467,0.3,-0.0,-0.055,0.0017,0.3644,1.0,,500,245,0,0,0.0,0.2492
2024-01-01 00:00:04,4,NORMAL,Training,0.371,0.392,0.052,0.379,0.04,0.057,0.107,0.203,0.162,0.484,258,0,258,7,3000,258,0,0,0.0,0.2432,0.3,-0.0,-0.0568,0.0,0.3024,1.0,,500,258,0,0,0.0,0.2527
2024-01-01 00:00:05,5,NORMAL,Training,0.296,0.388,0.046,0.351,0.036,0.042,0.14,0.157,0.189,0.481,231,0,231,7,3000,231,0,0,0.0,0.2473,0.3,-0.0,-0.0527,0.0,0.291,1.0,,500,231,0,0,0.0,0.2543
2024-01-01 00:00:06,6,NORMAL,Training,0.349,0.386,0.055,0.352,0.042,0.074,0.066,0.177,0.184,0.477,273,0,273,5,1500,273,0,0,0.0,0.2546,0.3,-0.0,-0.0528,0.0074,0.3196,1.0,,500,273,0,0,0.0,0.2595
2024-01-01 00:00:07,7,NORMAL,Training,0.361,0.421,0.043,0.39,0.033,0.054,0.108,0.179,0.156,0.474,213,0,213,7,3000,213,0,0,0.0,0.2415,0.3,-0.0,-0.0585,0.0,0.3041,1.0,,500,213,0,0,0.0,0.2505
2024-01-01 00:00:08,8,NORMAL,Training,0.345,0.437,0.045,0.381,0.034,0.039,0.032,0.224,0.131,0.47,223,0,223,5,1500,223,0,0,0.0,0.2466,0.3,-0.0,-0.0572,0.0039,0.3674,1.0,,500,223,0,0,0.0,0.2492
2024-01-01 00:00:09,9,NORMAL,Training,0.316,0.378,0.055,0.366,0.042,0.037,0.077,0.116,0.092,0.468,276,0,276,3,750,276,0,0,0.0,0.2507,0.3,-0.0,-0.0549,0.0056,0.2568,1.0,,500,276,0,0,0.0,0.2513
