timestamp,step,scenario,client_id,source_role,message_type,urgency,grid_state,freq_deviation,renewable_pct,emergency_flag,p_message,p_role,p_effective,priority_tier,gamma,base_gamma,adj_factor,rate_limit,incoming_req,accepted_req,rejected_req,rejection_rate
2024-01-01 00:00:00,0,NORMAL,GridOps_Station,GRID_OPERATOR,DER_CONTROL,False,NORMAL,0.0591,14.8,False,0.8,1.0,0.7,HIGH,1.0651,1.0,1.0651,323.67,29,29,0,0.0
2024-01-01 00:00:00,0,NORMAL,Utility_API_01,UTILITY,METER_DATA,False,NORMAL,0.0591,14.8,False,0.3,0.85,0.405,LOW,1.0651,1.0,1.0651,229.41,31,31,0,0.0
2024-01-01 00:00:00,0,NORMAL,DER_Provider_01,DER_PROVIDER,TELEMETRY,False,NORMAL,0.0591,14.8,False,0.2,0.75,0.325,LOW,1.0651,1.0,1.0651,203.85,32,32,0,0.0
2024-01-01 00:00:00,0,NORMAL,AMI_Network_01,SMART_METER,METER_DATA,False,NORMAL,0.0591,14.8,False,0.3,0.45,0.285,LOW,1.0651,1.0,1.0651,191.07,74,74,0,0.0
2024-01-01 00:00:00,0,NORMAL,ThirdParty_Market_01,THIRD_PARTY,MARKET_OPERATIONS,False,NORMAL,0.0591,14.8,False,0.4,0.35,0.305,LOW,1.0651,1.0,1.0651,197.46,69,69,0,0.0
2024-01-01 00:00:01,1,NORMAL,GridOps_Station,GRID_OPERATOR,PMU_SYNC,False,NORMAL,0.052,25.64,False,0.7,1.0,0.65,MEDIUM,1.0825,1.0,1.0825,311.09,20,20,0,0.0
2024-01-01 00:00:01,1,NORMAL,Utility_API_01,UTILITY,METER_DATA,False,NORMAL,0.052,25.64,False,0.3,0.85,0.405,LOW,1.0825,1.0,1.0825,231.52,35,35,0,0.0
2024-01-01 00:00:01,1,NORMAL,DER_Provider_01,DER_PROVIDER,TELEMETRY,False,NORMAL,0.052,25.64,False,0.2,0.75,0.325,LOW,1.0825,1.0,1.0825,205.54,34,34,0,0.0
2024-01-01 00:00:01,1,NORMAL,AMI_Network_01,SMART_METER,TELEMETRY,False,NORMAL,0.052,25.64,False,0.2,0.45,0.235,LOW,1.0825,1.0,1.0825,176.32,77,77,0,0.0
2024-01-01 00:00:01,1,NORMAL,ThirdParty_Market_01,THIRD_PARTY,TELEMETRY,False,NORMAL,0.052,25.64,False,0.2,0.35,0.205,LOW,1.0825,1.0,1.0825,166.57,58,58,0,0.0
2024-01-01 00:00:02,2,NORMAL,GridOps_Station,GRID_OPERATOR,PMU_SYNC,False,NORMAL,0.0372,18.24,False,0.7,1.0,0.65,MEDIUM,1.0588,1.0,1.0588,306.47,26,26,0,0.0
2024-01-01 00:00:02,2,NORMAL,Utility_API_01,UTILITY,METER_DATA,False,NORMAL,0.0372,18.24,False,0.3,0.85,0.405,LOW,1.0588,1.0,1.0588,228.64,49,49,0,0.0
2024-01-01 00:00:02,2,NORMAL,DER_Provider_01,DER_PROVIDER,TELEMETRY,False,NORMAL,0.0372,18.24,False,0.2,0.75,0.325,LOW,1.0588,1.0,1.0588,203.23,32,32,0,0.0
2024-01-01 00:00:02,2,NORMAL,AMI_Network_01,SMART_METER,METER_DATA,False,NORMAL,0.0372,18.24,False,0.3,0.45,0.285,LOW,1.0588,1.0,1.0588,190.53,75,75,0,0.0
2024-01-01 00:00:02,2,NORMAL,ThirdParty_Market_01,THIRD_PARTY,MARKET_OPERATIONS,False,NORMAL,0.0372,18.24,False,0.4,0.35,0.305,LOW,1.0588,1.0,1.0588,196.88,73,73,0,0.0
